,RulesetId,Name,DurationTurns
453,1816,Default,122.0
454,1096,Mao Naga Tiger Game,250.0
455,1258,Katro,34.0
456,128,Default,4.0
457,1154,Default,1.0
458,438,Bay Khom,65.0
459,38,Baghchal,250.0
460,1127,Mysore Tiger Game,12.0
461,701,Default,14.0
462,1027,Xanan Zirge,173.0
463,436,Lushei Kuki,166.0
464,410,Wikipedia,179.0
465,1012,Default,20.0
466,454,Xu Ke,250.0
467,984,Jeu du Renard et de la Poule,77.0
468,363,Oromo,150.0
469,213,Li'b al-Ghashim,1.0
470,767,Deleb,140.0
471,1542,Default,41.0
472,352,Shoa and Adegrat,119.0
473,912,Challis Ghutia (Titagarh),250.0
474,1016,Neg Tugal Tuux,4.0
475,198,Falkener,211.0
476,113,Default,1.0
477,1024,Xonin Shatar,156.0
478,1576,Fart (7x7),226.0
479,1927,Default,98.0
480,1539,Default,214.0
481,241,Gabradarre,67.0
482,58,Standard,102.0
483,579,Nielsen,86.0
484,322,Makonn,8.0
485,872,Main Tapak Empat,52.0
486,1332,Long Assize,243.0
487,735,Laquet,98.0
488,749,Asi Keliya,130.0
489,411,Thirteen Geese Murray,250.0
490,1143,Default,3.0
491,42,Fetlar,250.0
492,1581,Aqrad,172.0
493,1035,Jeson Mor,51.0
494,891,Coc-Inbert,117.0
495,423,Beart,250.0
496,373,Linnaeus,20.0
497,1504,Default,26.0
498,896,Chonpa,96.0
499,142,Townshend,4.0
500,260,Acholi,43.0
501,472,Default,30.0
502,1796,Default,58.0
503,435,Sakalava,101.0
504,1203,Dum Blas,93.0
505,710,Default,19.0
506,1803,Default,64.0
507,1446,Krida Buddhibalasrita,250.0
508,951,Fanorona Telo,36.0
509,286,Pic,86.0
510,897,Sher-Bakr,2.0
511,1969,Default,54.0
512,212,Hyde,165.0
513,199,Tamman,231.0
514,1963,Default,18.0
515,731,Pareia de Entrada,81.0
516,1978,Default,127.0
517,461,Default,248.0
518,1976,Default,250.0
519,1270,Default,120.0
520,79,Default,63.0
521,1554,Default,115.0
522,1966,Default,13.0
523,818,Kotra,105.0
524,1533,Default,99.0
525,282,Toguz Kumalak,169.0
526,751,Pachih,185.0
527,70,Default,1.0
528,907,Challis Gutia,243.0
529,883,Shashki,39.0
530,376,Jeu de garçons,151.0
531,789,Shah,233.0
532,249,Default,28.0
533,1344,Katsela,6.0
534,164,Queah,62.0
535,905,Mughal Pathan,244.0
536,956,Triodi (Diagonal),61.0
537,1654,Default,141.0
538,810,Siryu (Race),188.0
539,816,Refskak,118.0
540,294,Murray,250.0
541,136,Ras Imru,250.0
542,1171,Default,8.0
543,189,Maak Yek,250.0
544,1148,Default,1.0
545,52,Alfonso X,201.0
546,429,Ba-Ila,138.0
547,1764,Default,250.0
548,262,Ingrams,104.0
549,917,Pentalpha,1.0
550,54,Standard,154.0
551,389,Default,41.0
552,434,Mancala World,102.0
553,724,Doblet,59.0
554,945,Nine Holes,7.0
555,302,Vuthy Tan,250.0
556,779,Yote,86.0
557,1670,Default,250.0
558,775,Tauru,88.0
559,1777,Default,1.0
560,73,Default,71.0
561,68,Default,43.0
562,998,Default,96.0
563,646,Aj Sakakil,68.0
564,1552,Default,16.0
565,1802,Default,18.0
566,206,Yucebao,136.0
567,1472,Raja Pasu Mandiri,116.0
568,1658,Default,31.0
569,247,Samburu,58.0
570,1950,Default,17.0
571,127,Oman,250.0
572,43,Default,60.0
573,1540,Default,32.0
574,1156,Default,1.0
575,548,Default,246.0
576,386,Culin,250.0
577,248,Kisolo,65.0
578,1028,Jeson Zam,31.0
579,660,Default,21.0
580,1586,Default,242.0
581,99,Default,18.0
582,1529,Default,116.0
583,972,Terhuchu (Small),188.0
584,820,Dubblets,15.0
585,452,Default,44.0
586,1942,El Perro,247.0
587,1768,Default,119.0
588,1618,Default,220.0
589,723,Sujjua,30.0
