,Cluster,RulesetId,Name
355,1,319, Saxun
356,3,920, Omangunta Peeta
357,2,1510, Marelle Quadruple
358,3,143, Sungka
359,3,343, Mewelad
360,4,619, Two-Colour
361,3,231, Okwe (Nigeria)
362,3,207, Laomuzhu
363,2,587, Picaria
364,0,873, Main Pacheh
365,2,774, Kharberg
366,4,1531, Faraday
367,0,808, Sig wa Duqqan (Houmt al-Arbah)
368,4,1153, Refugia
369,4,1421, Mini Wars
370,2,1073, Janes Soppi (Symmetrical)
371,0,542, Mehen
372,2,950, Akidada
373,4,493, Domineering
374,3,1296, Tsoro (Reentered Captures)
375,3,211, Halusa
376,4,1989, Dama (Kenya)
377,3,341, Selus
378,2,577, Kolowis Awithlaknannai
379,3,280, Kpo
380,0,1079, Kiz Tavlasi
381,2,684, Theseus and the Minotaur
382,1,1731, Astralesce and Constellation
383,4,1793, Football Chess
384,0,36, 58 Holes
385,3,281, Wouri
386,0,1060, Frangieh
387,2,41, ArdRi
388,2,919, Nao Gutiya Baithaneka
389,4,1147, Hoshi
390,2,416, Camelot
391,4,663, Flowers
392,3,290, Hoyito
393,4,388, Go with the Floe
394,0,172, Ashtapada
395,4,120, Sudoku
396,3,353, Gabata (Wuqro)
397,3,228, Obridje
398,3,1322, Sute
399,3,1291, Misoro Tsoro (Additional Capture)
400,0,1191, Sig (Mauritania)
401,2,171, Yeung Luk Sz' Kon Tseung Kwan
402,0,200, Chaupar
403,3,1306, Yovodi
404,2,1799, A Simple Game
405,0,922, Senet
406,3,256, Chisolo
407,2,1010, Gurvan Xudag
408,3,261, Ikibuguzo (Opening 1)
409,1,1333, Short Assize
410,4,1548, Brain Coral
411,3,426, Kapana Bona
412,4,1732, Conflagration and Keep-a-riding
413,4,1666, N-Mesh
414,3,1307, Ti
415,4,1970, Wrigglers Squared
416,2,291, Shui Yen Ho-Shang
417,3,268, Muvalavala (Luena)
418,2,902, Mawryngkneng Solitaire Game
419,4,1664, Pentomino
420,2,1242, Three Musketeers
421,2,773, T'uk T'uk
422,4,679, Chomp
423,2,402, Grasshopper
424,3,254, Hus (Nama)
425,4,1646, Seesaw Draughts
426,4,1144, Tic-Tac-Die
427,0,1077, Lange Puff
428,4,618, MaxMatch
429,0,1794, Lelac
430,0,895, Pachesi
431,4,91, Gomoku
432,3,234, The Concentration Game
433,4,53, Brazilian Draughts
434,2,1939, Khamousiyya
435,3,1365, Kisolo (Lali)
436,1,1627, Shatranj (12x12)
437,2,1813, Moxie
438,0,809, Sig wa Duqqan (Houmt Taourit)
439,4,1574, Kharebga (7x7)
440,3,1304, Adidada
441,4,1981, Signum
442,4,1962, Symple
443,4,561, Jekab
444,3,940, Pachgarhwa
445,4,60, Lasca
446,2,61, Mogul Putt'han
447,0,726, Quinze Tablas
448,0,836, Owasokotz
449,2,737, Alquerque de Tres
450,1,312, Grande Acedrex
451,0,603, Portes
452,2,1082, Hund efter Hare (Thy)
453,2,1816, Jumping Beans
454,2,1096, Mao Naga Tiger Game
455,3,1258, Katro
456,4,128, Tron
457,4,1154, Tridoku
458,3,438, Bay Khom
459,2,38, Baghchal
460,2,1127, Mysore Tiger Game
461,2,701, Nedilmarth
462,2,1027, Xanan Zirge
463,3,436, Vai Lung Thlan
464,4,410, Dai Hasami Shogi
465,1,1012, Breakthrough Chess
466,1,454, Manzhouqi
467,2,984, Jeu du Renard et de la Poule
468,3,363, Gabata (Oromo)
469,3,213, Li'b al-Ghashim
470,0,767, Deleb
471,2,1542, Pylos
472,3,352, Gabata (Shoa and Adegrat)
473,2,912, Challis Ghutia (Titagarh)
474,2,1016, Neg Tugal Tuux
475,0,198, Ashta-kashte
476,4,113, Killer Sudoku
477,2,1024, Xonin Shatar (Simple)
478,4,1576, Fart (7x7)
479,2,1927, Cannon
480,2,1539, Quoridor
481,3,241, Leyla Gobale (Gabradarre)
482,4,58, International Draughts
483,4,579, Brandub
484,3,322, Makonn
485,2,872, Main Tapak Empat
486,1,1332, Long Assize
487,0,735, Laquet
488,0,749, Asi Keliya
489,2,411, Fox and Geese
490,4,1143, Bravalath
491,4,42, Hnefatafl
492,2,1581, Aqrad
493,1,1035, Jeson Mor
494,4,891, Coc-Inbert
